id,company_rating,company_location,total_fleet_count,iata_approved
3888,100%,Isle of Man,1.0,f
46728,100%,,1.0,f
34618,38%,Isle of Man,1.0,f
28619,100%,Bosnia and Herzegovina,1.0,f
8240,,Chile,1.0,t
16813,100%,Kiribati,2.0,f
2859,90%,Bahrain,1.0,f
33237,,Nicaragua,1.0,f
30052,100%,Turkmenistan,1.0,f
43711,100%,Rwanda,1.0,f
14574,100%,,1.0,f
36935,,Niue,1.0,t
17077,,,1.0,f
28484,33%,Sao Tome and Principe,1.0,t
40075,93%,Denmark,2.0,t
19811,90%,Nicaragua,21.0,t
1337,0%,Micronesia,1.0,f
16846,,Lebanon,1.0,f
22049,,Djibouti,1.0,f
33906,80%,Marshall Islands,1.0,f
14122,100%,Malta,1.0,t
42226,100%,Rwanda,2.0,t
38865,100%,,2.0,t
12594,,,1.0,t
42127,,Chile,1.0,t
12819,,,1.0,f
12322,,Ghana,1.0,t
10973,,Rwanda,1.0,f
23917,,Guinea,1.0,f
32178,,Niue,4.0,t
5332,82%,,5.0,t
9830,100%,Barbados,3.0,t
18007,,Russian Federation,1.0,f
41662,,,1.0,t
43024,,Croatia,1.0,t
23356,100%,Netherlands,1.0,f
16042,0%,Rwanda,2.0,f
18420,,Wallis and Futuna,1.0,t
28637,,Chad,1.0,f
33035,,Gibraltar,1.0,t
37247,100%,Tanzania,3.0,f
47759,,,1.0,f
37293,92%,Russian Federation,15.0,f
9865,,Lebanon,1.0,t
14918,100%,Jersey,1.0,f
38552,100%,Montserrat,1.0,f
27510,,Kenya,1.0,t
25573,,Reunion,1.0,f
3983,,Guinea,1.0,f
41510,100%,Gambia,1.0,f
16449,,Tonga,1.0,t
26524,100%,Guinea,2.0,t
46308,100%,,1.0,f
16370,50%,Isle of Man,1.0,t
15404,,,1.0,t
7588,100%,Philippines,2.0,f
35572,,Nicaragua,1.0,f
29167,,,1.0,t
18953,100%,Chile,1.0,f
21124,,Estonia,2.0,t
4149,,Russian Federation,1.0,f
7891,100%,Barbados,1.0,f
31532,,,1.0,f
22175,50%,Lebanon,1.0,t
24416,,,1.0,t
43870,100%,,1.0,f
15015,,,1.0,t
37686,90%,Monaco,1.0,t
41236,,,1.0,f
22210,,Zimbabwe,1.0,f
40770,100%,Tonga,2.0,f
7399,,,1.0,t
22408,,Portugal,1.0,f
26040,,Isle of Man,1.0,t
3659,,Cape Verde,1.0,t
30020,,,1.0,f
47398,100%,,1.0,t
30561,,Reunion,1.0,f
22090,100%,Marshall Islands,1.0,t
653,,Vanuatu,3.0,f
2904,,Canada,1.0,f
39794,,,1.0,t
30170,,Chile,1.0,t
44781,90%,,1.0,f
24562,,Lithuania,1.0,f
1241,100%,Chile,1.0,f
43897,100%,,1.0,f
4348,,,1.0,f
7008,,,1.0,f
18922,,,1.0,f
34678,89%,Croatia,4.0,t
46270,,Niue,1.0,t
39117,,Moldova,1.0,t
32063,100%,Niue,2.0,t
19581,100%,Russian Federation,1.0,f
42314,100%,,1.0,f
18430,,Lebanon,2.0,t
28985,100%,Monaco,1.0,t
37939,,,1.0,t
32494,,,1.0,t
9703,,,1.0,f
17908,100%,Mexico,2.0,f
2732,100%,Turkmenistan,4.0,f
14496,,Isle of Man,1.0,t
10546,,,1.0,t
19139,100%,Mauritania,1.0,f
42020,100%,,2.0,t
17652,50%,Isle of Man,1.0,f
11023,,,1.0,f
31213,100%,Denmark,1.0,t
46569,,,1.0,f
40661,,Sao Tome and Principe,2.0,t
12483,,,1.0,t
1577,100%,Peru,8.0,t
48446,100%,,1.0,f
15425,,Uzbekistan,1.0,t
9819,,United Kingdom,1.0,t
24954,60%,Christmas Island,2.0,f
24736,100%,Isle of Man,1.0,t
950,,Chile,1.0,f
14812,100%,,1.0,t
46615,100%,,1.0,t
14790,,Niger,1.0,f
16,,,1.0,t
44885,100%,Philippines,1.0,t
12310,,,1.0,f
31040,100%,El Salvador,2.0,t
40396,,Russian Federation,1.0,f
19540,100%,Guinea,1.0,t
20183,100%,,1.0,t
78,100%,Gambia,1.0,t
42549,,Uzbekistan,1.0,t
39998,100%,Micronesia,4.0,t
768,,Bahrain,1.0,t
44637,,El Salvador,1.0,t
44245,100%,,1.0,f
22758,,,1.0,f
47617,100%,Philippines,2.0,f
23779,,,1.0,f
18071,,,1.0,t
8640,,Niue,1.0,t
18651,,,1.0,t
27729,,Afghanistan,4.0,f
37118,,,1.0,t
45083,100%,,1.0,f
7309,100%,Togo,4.0,f
15586,,Niue,1.0,t
33683,33%,Somalia,2.0,f
7056,100%,,2.0,t
12799,80%,Faroe Islands,2.0,f
34355,,,2.0,t
5729,100%,Russian Federation,1.0,f
21239,100%,Denmark,1.0,f
5532,,Jersey,1.0,f
15370,,El Salvador,1.0,f
49953,100%,Niger,1.0,f
31290,,,1.0,f
35774,90%,Brazil,1.0,t
25262,,Maldives,1.0,t
48162,100%,Marshall Islands,1.0,f
5643,,Tonga,1.0,t
17702,,Lebanon,1.0,f
29745,90%,Andorra,1.0,f
25613,,Nicaragua,1.0,t
36263,,,1.0,f
34381,83%,Sao Tome and Principe,1.0,f
1353,,France,1.0,t
22271,,Nicaragua,2.0,f
38299,100%,Gambia,1.0,f
42558,,Russian Federation,1.0,f
8551,100%,Lebanon,1.0,f
42646,33%,Rwanda,4.0,f
4717,,Isle of Man,1.0,f
42975,,Philippines,1.0,f
26853,,Russian Federation,1.0,t
17669,100%,Russian Federation,3.0,f
25029,,,1.0,t
43882,,Turkmenistan,1.0,f
41421,,Gambia,1.0,t
48188,100%,,1.0,f
17751,,,2.0,f
33043,,Niue,2.0,f
20648,,United Kingdom,1.0,f
22110,100%,,1.0,t
830,,Guernsey,1.0,t
10364,100%,Slovakia (Slovak Republic),14.0,f
27226,100%,Congo,10.0,f
55,100%,Kiribati,2.0,f
44796,100%,Maldives,2.0,t
7025,100%,Jersey,1.0,f
19731,,,1.0,t
30130,100%,Togo,1.0,f
26794,100%,Lithuania,1.0,f
17051,100%,Micronesia,1.0,f
8012,100%,Sao Tome and Principe,2.0,t
15991,100%,Congo,1.0,t
42600,100%,Malawi,1.0,t
6669,,Malawi,1.0,t
46787,100%,Niue,1.0,t
11291,100%,,1.0,f
35323,89%,,1.0,f
2721,100%,,1.0,t
19554,,Lebanon,2.0,f
22806,100%,Faroe Islands,1.0,f
33223,100%,Nauru,1.0,t
547,,Guinea,1.0,t
36422,,Montserrat,1.0,f
23387,100%,,2.0,t
20463,100%,Lithuania,2.0,f
6860,,Djibouti,1.0,f
28276,83%,Papua New Guinea,2.0,f
26519,100%,Turks and Caicos Islands,2.0,t
