name,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19
Lewis_Hamilton,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nico_Rosberg,8,6,6,8,8,8,8,8,8,8,8,8,8,8,6,6,8,8,8
Sebastian_Vettel,6,8,8,6,6,6,6,6,6,6,6,6,6,6,8,8,6,6,6
Felipe_Massa,5,5,5,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3
Felipe_Nasr,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel_Ricciardo,3,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1
Nico_Hülkenberg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_Ericsson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos_Sainz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio_Pérez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenson_Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimi_Räikkönen,0,4,4,5,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5
Max_Verstappen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romain_Grosjean,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastor_Maldonado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniil_Kvyat,0,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,2,2
Kevin_Magnussen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valtteri_Bottas,0,2,3,3,4,4,4,4,5,5,3,3,4,4,4,4,5,5,4
Roberto_Merhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando_Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will_Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander_Rossi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
