shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month
45163,91.0,10.0,9.0,9.0,9.0,9.0,9.0,26,0.77
49438,96.0,10.0,10.0,10.0,10.0,10.0,9.0,61,0.62
10750,97.0,10.0,10.0,10.0,10.0,10.0,10.0,467,4.66
4146,95.0,10.0,10.0,10.0,10.0,9.0,9.0,318,3.22
5067,97.0,10.0,9.0,10.0,10.0,9.0,10.0,22,0.29
14891,93.0,9.0,8.0,10.0,9.0,9.0,9.0,15,0.19
5689,92.0,9.0,10.0,9.0,10.0,10.0,9.0,75,0.79
75321,97.0,10.0,10.0,10.0,10.0,9.0,10.0,450,4.5
27341,,,,,,,,0,
25733,94.0,10.0,9.0,10.0,10.0,9.0,9.0,168,2.55
38733,88.0,10.0,8.0,9.0,9.0,9.0,9.0,38,0.41
61198,96.0,9.0,9.0,10.0,10.0,10.0,9.0,95,0.95
9858,,,,,,,,0,
18221,95.0,9.0,10.0,10.0,10.0,10.0,9.0,184,1.9
18590,95.0,10.0,9.0,10.0,10.0,9.0,10.0,172,1.91
19813,72.0,7.0,8.0,8.0,8.0,9.0,8.0,10,0.15
74856,95.0,9.0,10.0,10.0,10.0,9.0,9.0,176,1.95
76722,98.0,10.0,10.0,10.0,10.0,10.0,10.0,30,0.41
29755,93.0,9.0,10.0,10.0,10.0,9.0,9.0,23,0.27
12358,95.0,9.0,9.0,10.0,10.0,10.0,9.0,23,0.28
16167,97.0,10.0,10.0,10.0,10.0,10.0,9.0,165,1.82
259,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182,1.97
71339,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59
48376,,,,,,,,0,
25335,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.07
56080,100.0,10.0,10.0,10.0,10.0,10.0,10.0,26,1.07
66614,93.0,9.0,9.0,9.0,9.0,10.0,9.0,15,0.18
51751,97.0,10.0,9.0,10.0,10.0,9.0,9.0,41,0.66
16137,96.0,9.0,9.0,10.0,10.0,9.0,9.0,65,0.71
54844,94.0,10.0,9.0,10.0,10.0,9.0,9.0,74,1.05
58486,60.0,9.0,8.0,8.0,8.0,9.0,7.0,3,0.03
14259,91.0,9.0,9.0,10.0,10.0,10.0,9.0,202,2.2
41603,93.0,9.0,10.0,10.0,10.0,9.0,9.0,29,0.33
258,95.0,9.0,9.0,10.0,10.0,9.0,10.0,87,0.97
5637,87.0,9.0,9.0,9.0,9.0,9.0,9.0,25,0.34
23951,97.0,10.0,10.0,10.0,10.0,9.0,10.0,34,0.93
2990,95.0,9.0,9.0,10.0,10.0,10.0,9.0,25,0.28
7653,94.0,10.0,10.0,10.0,10.0,9.0,9.0,70,0.8
74286,95.0,10.0,10.0,10.0,10.0,9.0,9.0,29,0.35
40515,97.0,10.0,9.0,9.0,10.0,10.0,9.0,64,0.73
45692,91.0,9.0,10.0,10.0,10.0,8.0,9.0,15,0.28
15000,97.0,10.0,10.0,10.0,10.0,9.0,10.0,141,1.6
48747,97.0,10.0,9.0,10.0,10.0,9.0,10.0,21,0.3
43966,85.0,9.0,9.0,10.0,10.0,9.0,9.0,4,0.13
18155,99.0,10.0,10.0,10.0,10.0,10.0,10.0,134,1.51
58876,70.0,9.0,9.0,10.0,10.0,9.0,7.0,5,0.06
24706,100.0,10.0,10.0,6.0,10.0,8.0,10.0,1,0.01
70604,96.0,10.0,9.0,9.0,10.0,9.0,9.0,18,0.21
26471,,,,,,,,0,
49800,95.0,10.0,10.0,10.0,10.0,10.0,10.0,142,1.61
22234,73.0,7.0,9.0,9.0,9.0,9.0,8.0,7,0.1
16340,94.0,9.0,9.0,10.0,10.0,10.0,9.0,42,0.49
41203,83.0,8.0,8.0,8.0,8.0,9.0,9.0,20,0.29
17610,94.0,9.0,10.0,10.0,10.0,9.0,9.0,63,0.73
6684,87.0,9.0,8.0,9.0,10.0,9.0,9.0,30,0.35
31569,88.0,9.0,9.0,9.0,9.0,9.0,9.0,193,2.27
76975,94.0,10.0,10.0,10.0,10.0,10.0,10.0,49,0.68
17713,,,,,,,,0,
61591,90.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.05
13839,100.0,10.0,10.0,10.0,8.0,10.0,10.0,2,0.02
32376,92.0,10.0,10.0,9.0,9.0,10.0,9.0,431,5.0
35048,93.0,10.0,9.0,9.0,10.0,10.0,9.0,46,0.53
77029,94.0,10.0,9.0,10.0,10.0,10.0,9.0,108,1.34
6062,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.01
9155,94.0,9.0,9.0,10.0,10.0,9.0,9.0,107,1.33
57334,96.0,10.0,9.0,10.0,10.0,10.0,10.0,28,0.33
2266,98.0,10.0,10.0,10.0,10.0,9.0,10.0,21,0.25
62819,,,,,,,,0,
24650,91.0,9.0,9.0,9.0,9.0,8.0,9.0,29,0.35
40761,82.0,9.0,8.0,9.0,10.0,9.0,8.0,134,1.56
62092,,,,,,,,0,
8691,89.0,9.0,9.0,9.0,9.0,9.0,9.0,38,0.47
53116,,,,,,,,0,
50190,,,,,,,,0,
48391,88.0,9.0,9.0,9.0,9.0,9.0,9.0,120,1.45
56396,98.0,10.0,10.0,10.0,10.0,10.0,10.0,471,5.49
30465,87.0,8.0,7.0,8.0,9.0,9.0,9.0,12,0.14
55579,93.0,9.0,10.0,9.0,10.0,10.0,9.0,390,4.58
28853,97.0,10.0,10.0,10.0,10.0,9.0,10.0,43,0.5
68424,95.0,10.0,10.0,10.0,10.0,10.0,9.0,39,0.46
14058,93.0,10.0,10.0,10.0,10.0,10.0,10.0,8,1.27
42319,93.0,10.0,10.0,9.0,10.0,10.0,9.0,67,1.75
44970,97.0,10.0,10.0,10.0,10.0,9.0,10.0,67,0.82
38755,98.0,10.0,10.0,10.0,10.0,10.0,9.0,8,0.16
62135,95.0,10.0,9.0,10.0,10.0,10.0,10.0,37,0.75
65948,88.0,9.0,8.0,9.0,9.0,10.0,9.0,100,1.18
53347,91.0,9.0,9.0,10.0,10.0,10.0,9.0,17,0.28
65506,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0.02
49181,,,,,,,,0,
9219,,,,,,,,0,
53927,98.0,10.0,10.0,9.0,10.0,9.0,9.0,17,0.21
31148,99.0,10.0,10.0,10.0,10.0,10.0,10.0,74,0.95
64665,90.0,9.0,10.0,9.0,9.0,9.0,9.0,25,0.34
62620,94.0,9.0,9.0,10.0,10.0,10.0,9.0,16,0.23
57908,95.0,10.0,10.0,10.0,10.0,9.0,9.0,343,4.26
22623,100.0,10.0,10.0,10.0,10.0,9.0,10.0,4,0.05
24279,93.0,10.0,9.0,10.0,10.0,10.0,9.0,9,0.14
61273,88.0,9.0,9.0,9.0,9.0,9.0,9.0,120,1.51
69882,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.02
46698,98.0,10.0,10.0,10.0,10.0,9.0,10.0,150,1.89
38657,,,,,,,,0,
62223,86.0,9.0,8.0,10.0,9.0,9.0,9.0,160,2.11
62211,,,,,,,,0,
69763,97.0,9.0,10.0,10.0,10.0,9.0,9.0,201,2.49
57220,,,,,,,,0,
70959,,,,,,,,0,
24928,,,,,,,,0,
14185,80.0,8.0,6.0,10.0,10.0,10.0,7.0,2,0.21
29920,83.0,8.0,8.0,9.0,9.0,8.0,8.0,23,0.36
11888,,,,,,,,0,
66198,,,,,,,,0,
55265,96.0,10.0,9.0,10.0,10.0,10.0,10.0,11,0.81
25548,,,,,,,,0,
48917,100.0,10.0,9.0,10.0,10.0,9.0,9.0,3,0.06
20524,96.0,10.0,9.0,10.0,10.0,9.0,9.0,18,0.22
25889,97.0,10.0,10.0,10.0,10.0,10.0,10.0,56,1.99
71387,85.0,9.0,8.0,9.0,9.0,10.0,8.0,193,2.39
50007,91.0,9.0,9.0,9.0,9.0,10.0,9.0,96,1.26
63296,80.0,10.0,9.0,9.0,10.0,9.0,9.0,6,0.08
1245,85.0,9.0,8.0,9.0,9.0,9.0,9.0,34,0.5
27694,96.0,10.0,9.0,10.0,10.0,9.0,9.0,24,0.45
15821,94.0,9.0,10.0,10.0,10.0,9.0,9.0,84,1.04
21340,98.0,10.0,10.0,10.0,10.0,10.0,10.0,91,1.11
45164,97.0,9.0,10.0,10.0,10.0,10.0,9.0,18,0.24
55707,93.0,10.0,10.0,10.0,10.0,9.0,9.0,93,1.18
26825,,,,,,,,0,
30759,88.0,9.0,8.0,10.0,10.0,9.0,9.0,52,0.65
26566,,,,,,,,0,
53300,92.0,9.0,9.0,10.0,10.0,9.0,9.0,10,0.15
29055,98.0,10.0,10.0,10.0,10.0,10.0,9.0,53,0.66
14143,,,,,,,,0,
60535,,,,,,,,0,
31446,96.0,10.0,10.0,10.0,10.0,9.0,9.0,11,0.35
63186,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9,0.66
58248,92.0,10.0,9.0,10.0,10.0,9.0,9.0,47,0.58
3928,93.0,9.0,9.0,10.0,10.0,9.0,9.0,133,1.63
61718,95.0,10.0,9.0,10.0,10.0,10.0,9.0,12,0.2
45061,96.0,10.0,10.0,10.0,10.0,10.0,10.0,440,5.39
9738,95.0,10.0,9.0,10.0,10.0,10.0,9.0,29,0.47
59108,,,,,,,,0,
25137,90.0,9.0,8.0,10.0,10.0,9.0,9.0,116,1.42
19720,,,,,,,,0,
32096,,,,,,,,0,
41284,95.0,10.0,10.0,10.0,10.0,10.0,9.0,83,1.31
59532,95.0,10.0,10.0,10.0,10.0,9.0,9.0,122,1.51
28342,97.0,10.0,10.0,10.0,10.0,9.0,10.0,246,3.01
61194,93.0,9.0,10.0,9.0,10.0,9.0,9.0,27,0.33
2390,91.0,10.0,8.0,10.0,10.0,10.0,9.0,34,0.63
50943,97.0,10.0,9.0,10.0,10.0,10.0,10.0,35,0.43
1464,98.0,10.0,10.0,10.0,10.0,10.0,10.0,94,1.17
47810,100.0,2.0,10.0,10.0,10.0,10.0,10.0,1,0.04
73246,98.0,10.0,10.0,10.0,10.0,9.0,10.0,10,0.13
21708,,,,,,,,0,
5480,100.0,10.0,10.0,10.0,10.0,10.0,8.0,1,0.04
18325,92.0,10.0,9.0,10.0,9.0,9.0,9.0,30,0.44
25749,,,,,,,,0,
76729,96.0,10.0,8.0,10.0,10.0,10.0,9.0,10,0.15
30461,91.0,9.0,10.0,10.0,9.0,9.0,9.0,21,0.27
75029,97.0,10.0,10.0,10.0,10.0,9.0,10.0,156,1.92
5819,92.0,9.0,9.0,9.0,10.0,10.0,9.0,161,1.99
21106,95.0,10.0,9.0,10.0,10.0,9.0,9.0,58,0.74
58955,97.0,10.0,10.0,10.0,10.0,9.0,9.0,19,0.35
30363,100.0,10.0,10.0,10.0,10.0,10.0,10.0,5,0.08
12974,85.0,8.0,8.0,8.0,8.0,8.0,8.0,42,0.52
4819,91.0,8.0,10.0,10.0,10.0,10.0,10.0,1,0.02
45465,,,,,,,,0,
10811,,,,,,,,0,
24042,,,,,,,,0,
62917,90.0,9.0,10.0,10.0,10.0,10.0,10.0,2,0.45
39980,,,,,,,,0,
63824,99.0,10.0,10.0,10.0,10.0,10.0,10.0,286,3.55
28814,99.0,10.0,10.0,10.0,10.0,10.0,10.0,102,1.27
75959,,,,,,,,0,
44067,96.0,10.0,10.0,10.0,10.0,10.0,9.0,236,2.97
3980,,,,,,,,0,
37297,93.0,9.0,9.0,10.0,10.0,9.0,9.0,169,2.14
11190,86.0,9.0,8.0,9.0,9.0,9.0,9.0,129,1.74
46614,87.0,9.0,9.0,9.0,9.0,9.0,8.0,3,0.04
22804,,,,,,,,0,
19451,,,,,,,,0,
63952,,,,,,,,0,
16187,93.0,9.0,9.0,10.0,10.0,9.0,9.0,133,1.9
72768,97.0,9.0,9.0,10.0,10.0,9.0,9.0,7,0.42
32811,,,,,,,,0,
26349,97.0,10.0,9.0,10.0,10.0,9.0,10.0,35,0.54
9169,94.0,9.0,9.0,10.0,10.0,8.0,9.0,54,0.67
26104,86.0,9.0,8.0,9.0,10.0,9.0,9.0,73,0.96
21717,,,,,,,,0,
41579,99.0,10.0,10.0,10.0,10.0,10.0,10.0,72,0.92
7202,94.0,10.0,10.0,10.0,10.0,10.0,9.0,17,0.22
43090,,,,,,,,0,
24698,93.0,9.0,9.0,10.0,10.0,9.0,10.0,3,0.15
70399,100.0,10.0,9.0,10.0,10.0,9.0,9.0,13,0.17
50222,89.0,9.0,9.0,9.0,9.0,9.0,9.0,39,0.49
34345,98.0,10.0,9.0,10.0,10.0,9.0,9.0,23,0.33
35414,,,,,,,,0,
55690,91.0,9.0,9.0,10.0,10.0,9.0,9.0,7,0.42
2915,90.0,10.0,10.0,10.0,10.0,9.0,9.0,4,0.06
46073,88.0,9.0,9.0,9.0,10.0,9.0,10.0,15,0.22
7998,99.0,10.0,10.0,10.0,10.0,10.0,10.0,41,0.52
41774,92.0,9.0,9.0,10.0,10.0,10.0,9.0,16,0.26
48919,,,,,,,,0,
72628,,,,,,,,0,
52234,,,,,,,,0,
8089,93.0,9.0,9.0,10.0,10.0,9.0,9.0,276,3.57
18936,97.0,10.0,10.0,9.0,10.0,10.0,9.0,42,0.54
5833,98.0,10.0,10.0,10.0,10.0,9.0,9.0,66,0.83
49989,92.0,9.0,9.0,10.0,10.0,10.0,9.0,22,0.4
69391,85.0,9.0,9.0,9.0,9.0,8.0,9.0,56,0.77
36278,98.0,10.0,10.0,10.0,10.0,9.0,10.0,68,1.03
18723,80.0,6.0,6.0,10.0,10.0,10.0,8.0,1,0.02
23716,98.0,10.0,10.0,10.0,10.0,9.0,10.0,176,2.21
33319,99.0,10.0,10.0,10.0,10.0,10.0,10.0,28,0.44
75157,,,,,,,,0,
26662,,,,,,,,0,
36180,,,,,,,,0,
